day count, animals alive count,  animals dead count, grass count, freeFields, famousGenotype, averageAnimalEnergy, averageAnimalLifespan
0, 5, 0, 0, 59, 0, 600, 0
1, 5, 0, 5, 60, 1, 550, 0
2, 5, 0, 10, 59, 1, 500, 0
3, 5, 0, 15, 59, 1, 450, 0
4, 5, 0, 20, 60, 1, 400, 0
5, 5, 0, 23, 59, 1, 350, 0
6, 5, 0, 26, 60, 1, 300, 0
7, 5, 0, 30, 59, 1, 250, 0
8, 5, 0, 34, 59, 1, 200, 0
9, 6, 0, 36, 61, 1, 125, 0
10, 6, 0, 39, 59, 1, 75, 0
11, 4, 2, 42, 61, 1, 37, 6
12, 2, 4, 45, 62, 2, 0, 9
13, 1, 5, 48, 63, 1, 0, 10
14, 0, 6, 52, 64, 1, 0, 10
